DOI,Title,Matched Columns,Matched keywards
10.1109/ISCAS45731.2020.9180509,A 312pJ°C2 Ultra-Low-Power Direct-ADC Multi-Range Temperature Sensor for IoT Nodes,"Document Title, Abstract","low-power , energy-efficient"
10.1109/ISCAS45731.2020.9180510,CMOS-Free Magnetic Domain Wall Leaky Integrate-and-Fire Neurons with Intrinsic Lateral Inhibition,Abstract,energy consumption
10.1109/ISCAS45731.2020.9180511,Plasticity-Enhanced Domain-Wall MTJ Neural Networks for Energy-Efficient Online Learning,Document Title,energy-efficient
10.1109/ISCAS45731.2020.9180526,ASIC Solution for the Directional Intra Prediction of the AV1 Encoder Targeting UHD 4K Videos,Abstract,energy consumption
10.1109/ISCAS45731.2020.9180535,A 3GS/s Highly Linear Energy Efficient Constant-Slope Based Voltage-to-Time Converter,Abstract,energy-efficient
10.1109/ISCAS45731.2020.9180536,Noise Shaping Techniques for SNR Enhancement in SAR Analog to Digital Converters,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180540,A 0.45-V Low-Power Image-Rejection Low-Noise Amplifier in 0.18-μm CMOS Technology,"Document Title, Abstract","low-power , low-power "
10.1109/ISCAS45731.2020.9180548,Towards Efficient On-Chip Learning using Equilibrium Propagation,"Abstract, Abstract, Abstract, Author Keywords, Author Keywords, IEEE Terms","quantization, pruning, memory usage, quantization, pruning, quantization"
10.1109/ISCAS45731.2020.9180549,Memristor Overwrite Logic (MOL) for Energy-Efficient In-Memory DNN,Document Title,energy-efficient
10.1109/ISCAS45731.2020.9180550,Accelerating Post-Quantum Cryptography using an Energy-Efficient TLS Crypto-Processor,"Document Title, Abstract","energy-efficient, energy-efficient"
10.1109/ISCAS45731.2020.9180576,gm/ID Design Considerations for Subthreshold-Based CMOS Two-Stage Operational Amplifiers,Abstract,low-power 
10.1109/ISCAS45731.2020.9180587,Dual Mode Logic Address Decoder,"Abstract, IEEE Terms","energy consumption, energy consumption"
10.1109/ISCAS45731.2020.9180596,Reducing Temperature Induced Unreliability in Sub-Threshold Strong PUFs through Circuit Modeling,Abstract,quantization
10.1109/ISCAS45731.2020.9180597,A 6.4pJ/Bit Strong Physical Unclonable Function Based on Multiple-Stage Amplifier Chain,Abstract,energy consumption
10.1109/ISCAS45731.2020.9180607,A Hybrid Instruction and Functional Level Energy Estimation Framework for Embedded Processors,"Abstract, Abstract, IEEE Terms","energy-efficient, energy consumption, energy consumption"
10.1109/ISCAS45731.2020.9180618,A Wide Range and High Accuracy Sensor Interface with Switching Regulator for Coin-Cell Powered Tiny Wireless Sensor Node,Abstract,energy-efficient
10.1109/ISCAS45731.2020.9180620,Accelerated Filtering and in situ Verification for Energy-Optimized Genome Read Mapping,Author Keywords,energy consumption
10.1109/ISCAS45731.2020.9180626,Fuzzy-Logic using Unary Bit-Stream Processing,Abstract,energy consumption
10.1109/ISCAS45731.2020.9180632,Time Step Impact on Performance and Accuracy of Izhikevich Neuron: Software Simulation and Hardware Implementation,Abstract,memory usage
10.1109/ISCAS45731.2020.9180634,MuBiNN: Multi-Level Binarized Recurrent Neural Network for EEG Signal Classification,"Abstract, IEEE Terms","energy-efficient, quantization"
10.1109/ISCAS45731.2020.9180637,Effect of Electrolytic Capacitors on the Performance of Multicomponent Fractors,Abstract,not available
10.1109/ISCAS45731.2020.9180644,Analysis of a Dual N-Path Filter,Abstract,not available
10.1109/ISCAS45731.2020.9180645,Analog Solutions of Systems of Linear Equations on a Configurable Platform,Abstract,energy-efficient
10.1109/ISCAS45731.2020.9180653,"Voltage-Gated Spin-Hall Effect Based Magnetic Non-Volatile Flip-Flop for High Speed, Low Power and Compact Cell Area",Abstract,low-power 
10.1109/ISCAS45731.2020.9180658,Efficient Time-Domain In-Memory Computing Based on TST-MRAM,"Abstract, Abstract, IEEE Terms","low-power , energy consumption, energy consumption"
10.1109/ISCAS45731.2020.9180669,Impact of Memristor Defects in a Neuromorphic Radionuclide Identification System,Abstract,energy-efficient
10.1109/ISCAS45731.2020.9180670,AVAC: A Machine Learning Based Adaptive RRAM Variability-Aware Controller for Edge Devices,Abstract,energy consumption
10.1109/ISCAS45731.2020.9180675,Process Variation Model and Analysis for Domain Wall-Magnetic Tunnel Junction Logic,"Abstract, Abstract","energy-efficient, energy consumption"
10.1109/ISCAS45731.2020.9180676,Dynamic Memory and Sequential Logic Design using Negative Capacitance FinFETs,Abstract,low-power 
10.1109/ISCAS45731.2020.9180681,Live Demonstration: A Low-Cost Wireless Instrumentation Control System,Abstract,raspberry pi
